TagID,TagName,Description,TagType,TagDataType,MaxRawValue,MinRawValue,MaxValue,MinValue,NonLinearTableName,ConvertType,IsFilter,DeadBand,Unit,ChannelName,DeviceName,ChannelDriver,DeviceSeries,DeviceSeriesType,CollectControl,CollectInterval,CollectOffset,TimeZoneBias,TimeAdjustment,Enable,ForceWrite,ItemName,RegName,RegType,ItemDataType,ItemAccessMode,HisRecordMode,HisDeadBand,HisInterval,TagGroup
5001,Group1_FCS0101!11_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!11.HH,,0,DOUBLE,读写,不记录,0.000000,60,
5002,Group1_FCS0101!11_LL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!11.LL,,0,DOUBLE,读写,不记录,0.000000,60,
5003,Group1_FCS0101!11_PH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!11.PH,,0,DOUBLE,读写,不记录,0.000000,60,
5004,Group1_FCS0101!11_PL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!11.PL,,0,DOUBLE,读写,不记录,0.000000,60,
5005,Group1_FCS0101!12_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!12.HH,,0,DOUBLE,读写,不记录,0.000000,60,
5006,Group1_FCS0101!12_LL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!12.LL,,0,DOUBLE,读写,不记录,0.000000,60,
5007,Group1_FCS0101!12_PH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!12.PH,,0,DOUBLE,读写,不记录,0.000000,60,
5008,Group1_FCS0101!12_PL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!12.PL,,0,DOUBLE,读写,不记录,0.000000,60,
5009,Group1_FCS0101!24VPOWER_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!24VPOWER.HH,,0,DOUBLE,读写,不记录,0.000000,60,
5010,Group1_FCS0101!24VPOWER_LL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!24VPOWER.LL,,0,DOUBLE,读写,不记录,0.000000,60,
5011,Group1_FCS0101!24VPOWER_PH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!24VPOWER.PH,,0,DOUBLE,读写,不记录,0.000000,60,
5012,Group1_FCS0101!24VPOWER_PL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!24VPOWER.PL,,0,DOUBLE,读写,不记录,0.000000,60,
5013,Group1_FCS0101!2LAH5001A-ALRM_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001A-ALRM.HH,,0,DOUBLE,读写,不记录,0.000000,60,
5014,Group1_FCS0101!2LAH5001A-ALRM_LL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001A-ALRM.LL,,0,DOUBLE,读写,不记录,0.000000,60,
5015,Group1_FCS0101!2LAH5001A-ALRM_PH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001A-ALRM.PH,,0,DOUBLE,读写,不记录,0.000000,60,
5016,Group1_FCS0101!2LAH5001A-ALRM_PL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001A-ALRM.PL,,0,DOUBLE,读写,不记录,0.000000,60,
5017,Group1_FCS0101!2LAH5001A_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAH5001A.HH,,0,DOUBLE,读写,不记录,0.000000,60,
